Woody,Tom Hanks,Sheriff,TS04-2019,American
Buzz Lightyear,Tim Allen,Space Ranger,TS04-2019,American
Bo Peep,Annie Potts,Shepherd,TS04-2019,American
Forky,Tony Hale,Spork,TS04-2019,American
Ducky,Keegan-Michael Key,Carnival Prize,TS04-2019,American
Gabby Gabby,Christina Hendricks,Talking Doll,TS04-2019,American
Duke Caboom,Keanu Reeves,Stunt,TS04-2019,Canadian
Bonnie,Madeleine McGraw,Kid,TS04-2019,American
Bunny,Jordan Peele,Carnival Prize,TS04-2019,American
Scar,Chiwetel Ejiofor,Antagonist,TLK-2019,British
Mufasa,James Earl Jones,Pride King,TLK-2019,American
Sarabi,Alfre Woodard,Pride Queen,TLK-2019,American
Young Nala,Shahadi Wright Joseph,Lion Cub,TLK-2019,American
Zazu,John Oliver,Bird,TLK-2019,British
Rafiki,John Kani,Baboon,TLK-2019,South Africa
Young Simba,JD McCrary,Lion Cub,TLK-2019,American
Sarafina,Penny Johnson Jerald,Lioness,TLK-2019,American
